Goods and Services Tax  - IMS,,,,,,,,,,,,,,,,,
9C - Amended Credit / Debit Notes (Registered),,,,,,,,,,,,,,,,,
Recipient GSTIN,Trade/Legal Name,Original Note Number,Original Note Date,Revised Note Number,Revised Note Date,Note Type,Revised Note Supply Type,Total Note Value (₹),Revised Taxable Value (₹),Integrated Tax (₹),Central Tax (₹),State/UT Tax (₹),Cess (₹),Return Period,Reported in Form,Status,Remarks by Recipient
37AABCG4164H1ZN,GAC SHIPPING (INDIA) PRIVATE LIMITED,VZN/CN/00014/25,17-11-2025,VZN/CN/00014/25,17-11-2025,Credit,Regular,9440,8000,0,720,720,0,Dec-25,GSTR-1/IFF,Rejected,against cancelled inv
37AAVCA4772D1ZB,ADANI GANGAVARAM PORT  LIMITED,VZN/CN/00013/25,29-10-2025,VZN/CN/00013/25,29-10-2025,Credit,Regular,84960,72000,0,6480,6480,0,Dec-25,GSTR-1/IFF,Rejected,No remarks available
